"match_id","id","total_goals","supremacy","phi","cov_lambda","fit_error","expH","expA"
3754007,"premier417",2.41,0.42,0.3,0.12,8.59541950431791e-08,1.42,0.99
3754008,"premier443",3.12,1.46,0.13,0.48,0.000177409872237816,2.29,0.83
3754009,"premier711",3.1,1.4,0.17,0.28,4.96192129378829e-06,2.25,0.85
3754010,"premier435",2.44,0.38,0.28,0.12,2.39908214679915e-08,1.41,1.03
3754011,"premier439",2.37,-0.27,0.3,0.08,3.80345466333012e-08,1.05,1.32
3754012,"premier642",2.46,-0.2,0.3,0.08,3.5371402602505e-08,1.13,1.33
3754013,"premier540",2.71,-0.36,0.28,0.06,4.63352560474803e-08,1.17,1.54
3754014,"premier558",2.3,-0.37,0.3,0.07,5.24016346524655e-08,0.97,1.34
3754015,"premier479",2.83,0.09,0.3,0.1,4.62404161215894e-08,1.46,1.37
3754016,"premier697",2.63,0.91,0.23,0.12,1.70243249685765e-08,1.77,0.86
3754017,"premier472",2.32,-0.09,0.3,0.08,1.28165537824244e-07,1.11,1.21
3754018,"premier735",2.69,-0.39,0.27,0.07,4.09583254852598e-08,1.15,1.54
3754019,"premier564",2.44,0.19,0.3,0.1,1.89899355492799e-08,1.31,1.13
3754020,"premier400",2.89,1.1,0.22,0.21,1.73139021507902e-07,2,0.9
3754021,"premier582",2.58,0.49,0.27,0.11,1.25587694061171e-07,1.53,1.04
3754022,"premier695",2.48,0.6,0.28,0.14,1.01819985622344e-07,1.54,0.94
3754023,"premier412",2.76,0.47,0.27,0.12,3.34861670191586e-08,1.61,1.14
3754024,"premier708",2.54,0.18,0.28,0.1,3.24363347076143e-08,1.36,1.18
3754025,"premier541",2.82,1.34,0.16,0.3,9.19918109224375e-08,2.08,0.74
3754026,"premier739",2.54,0.51,0.28,0.13,8.32330463682062e-08,1.52,1.01
3754027,"premier597",3,1.38,0.18,0.23,8.56706900789394e-08,2.19,0.81
3754028,"premier515",3.06,1.07,0.22,0.18,1.01304020792803e-07,2.06,0.99
3754029,"premier490",2.84,1.28,0.19,0.24,8.57813767640789e-08,2.06,0.78
3754030,"premier699",2.51,-0.35,0.28,0.08,4.26228178463315e-08,1.08,1.43
3754031,"premier636",2.46,-0.76,0.27,0.08,2.79929257391274e-07,0.85,1.61
3754032,"premier588",2.44,0.51,0.29,0.13,3.14760154863079e-08,1.47,0.97
3754033,"premier740",3.05,0.69,0.23,0.09,8.09674014585775e-08,1.87,1.18
3754034,"premier392",2.44,0.48,0.28,0.13,5.78899011558077e-08,1.46,0.98
3754035,"premier696",2.95,1.34,0.19,0.33,5.8739761488583e-08,2.14,0.8
3754036,"premier575",2.35,0.16,0.3,0.1,7.55157758783154e-09,1.26,1.09
3754037,"premier728",3.09,0.17,0.26,0.11,4.37623840023593e-08,1.63,1.46
3754038,"premier518",3.07,-1.16,0.22,0.06,9.31008791822371e-08,0.95,2.11
3754039,"premier633",2.33,0.36,0.3,0.11,8.42269688971205e-08,1.34,0.98
3754040,"premier438",2.75,1.04,0.23,0.1,9.23212964825838e-08,1.89,0.85
3754041,"premier751",4.04,3.56,0.1,1.68,0.0509605603324093,3.8,0.24
3754042,"premier759",2.91,0.03,0.26,0.1,1.06705402434336e-07,1.47,1.44
3754043,"premier683",2.95,1.16,0.23,0.21,2.02488650126244e-07,2.05,0.89
3754044,"premier543",2.68,1.19,0.2,0.21,2.6030213186629e-07,1.94,0.74
3754045,"premier569",3.2,-0.67,0.25,0.08,7.69319361969693e-08,1.26,1.93
3754046,"premier530",2.88,0.46,0.29,0.12,5.74087531161718e-08,1.67,1.21
3754047,"premier517",2.84,1.16,0.22,0.23,5.45725737085261e-06,2,0.84
3754048,"premier704",2.64,0.05,0.29,0.1,2.44476199191786e-08,1.34,1.3
3754049,"premier641",2.93,1.14,0.23,0.11,5.25570634875154e-06,2.03,0.89
3754050,"premier653",2.45,0.18,0.3,0.1,1.14206308942133e-08,1.31,1.14
3754051,"premier549",2.51,-0.4,0.27,0.08,3.80143583963003e-08,1.06,1.46
3754052,"premier679",2.31,0.21,0.3,0.1,8.30315778841782e-08,1.26,1.05
3754053,"premier672",2.69,-1.18,0.22,0.05,2.97485163135667e-08,0.76,1.93
3754054,"premier555",4.18,3.96,0.16,1.97,0.0812488546227539,4.07,0.11
3754055,"premier748",3.03,0.84,0.22,0.09,9.85057353191934e-08,1.93,1.09
3754056,"premier563",2.59,0.7,0.26,0.12,4.71977927693407e-08,1.64,0.94
3754057,"premier560",3.01,1.27,0.22,0.22,3.41906714229e-08,2.14,0.87
3754058,"premier572",2.87,0.61,0.26,0.12,7.25418235404183e-08,1.74,1.13
3754059,"premier409",2.53,-1.12,0.24,0,1.13209477174207e-07,0.7,1.82
3754060,"premier459",2.63,-0.2,0.28,0.08,3.59240931998769e-08,1.21,1.41
3754061,"premier659",2.81,1.12,0.23,0.23,5.08961219269235e-05,1.97,0.85
3754062,"premier584",2.6,1.13,0.22,0.28,1.39475059834499e-07,1.87,0.73
3754063,"premier731",2.61,0.77,0.26,0.14,6.54836594810159e-08,1.69,0.92
3754064,"premier682",2.41,-0.07,0.3,0.09,1.93432320044165e-08,1.17,1.24
3754065,"premier590",2.83,0.71,0.27,0.13,3.42864020779732e-08,1.77,1.06
3754066,"premier399",2.61,0.5,0.27,0.12,5.64082928790777e-08,1.55,1.06
3754067,"premier462",2.7,0.55,0.26,0.12,4.06865452265078e-08,1.63,1.08
3754068,"premier431",2.3,0.25,0.31,0.1,4.6418211006707e-09,1.28,1.03
3754069,"premier571",3.3,1.49,0.13,0.5,9.38720723750469e-08,2.39,0.91
3754070,"premier737",2.73,-0.83,0.24,0.04,1.05944826387861e-07,0.95,1.78
3754071,"premier589",2.47,0.68,0.27,0.14,6.51968340934289e-08,1.57,0.89
3754072,"premier535",2.48,-0.01,0.3,0.09,1.22946962890994e-08,1.23,1.24
3754073,"premier522",3.09,1.35,0.2,0.22,3.89383493018772e-06,2.22,0.87
3754074,"premier460",2.62,0.03,0.28,0.1,9.88965889801299e-08,1.32,1.29
3754075,"premier685",2.63,-0.73,0.27,0.06,7.1083904291122e-08,0.95,1.68
3754076,"premier457",2.66,-0.16,0.28,0.09,8.45216229543852e-09,1.25,1.41
3754077,"premier434",3.46,1.63,0.16,0.32,1.92388578902196e-07,2.55,0.91
3754078,"premier382",2.81,1.32,0.19,0.29,2.72660802715687e-06,2.07,0.75
3754079,"premier455",4.24,4.01,0.17,1.69,0.0805415263063289,4.13,0.11
3754080,"premier628",2.73,1.15,0.22,0.1,1.31840395326953e-07,1.94,0.79
3754081,"premier668",2.34,-0.58,0.27,0.05,2.69999610133132e-08,0.88,1.46
3754082,"premier488",2.91,1.16,0.21,0.22,1.16097797141307e-07,2.04,0.88
3754083,"premier413",3,1.38,0.19,0.27,1.54413885479038e-07,2.19,0.81
3754084,"premier607",2.19,0.27,0.31,0.09,1.01850581741779e-07,1.23,0.96
3754085,"premier526",2.84,0.14,0.29,0.11,3.84343983748395e-08,1.49,1.35
3754086,"premier718",2.8,1.18,0.2,0.22,1.01535974509897e-07,1.99,0.81
3754087,"premier687",2.68,0.4,0.28,0.12,5.53476756599101e-08,1.54,1.14
3754088,"premier583",2.49,-0.7,0.27,0.06,6.73262250622143e-08,0.9,1.6
3754089,"premier612",2.39,0.08,0.3,0.1,8.39843335242588e-08,1.24,1.15
3754090,"premier484",2.57,0.24,0.29,0.11,2.40775450281269e-08,1.4,1.16
